ID,2BM0,2BM1,2BM2,2BM3,2BM4,2BM5,2BM6,2BM7,2BM8,2BM9,7BM0,7BM1,7BM2,7BM3,7BM4,7BM5,7BM6,7BM7,7BM8,7BM9,10BM0,10BM1,10BM2,10BM3,10BM4,10BM5,10BM6,10BM7,10BM8,10BM9
87,0.57,-,-,0.58,-,-,0.56,-,0.57,-,,,,,,,,,,,,,,,,,,,,
90,0.92,-,0.93,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
93,-,-,-,-,-,-,-,0.59,-,-,,,,,,,,,,,,,,,,,,,,
96,-,-,-,0.61,-,-,0.6,-,-,-,,,,,,,,,,,,,,,,,,,,
98,-,-,-,-,-,0.71,-,0.72,-,-,,,,,,,,,,,,,,,,,,,,
100,-,-,0.14,0.15,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
105,-,0.35,-,-,0.37,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
107,0.65,-,-,-,0.65,-,0.64,-,-,-,,,,,,,,,,,,,,,,,,,,
111,0.38,-,-,0.38,-,-,-,0.38,-,-,,,,,,,,,,,,,,,,,,,,
113,-,-,-,-,0.59,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
115,-,-,-,-,-,0.53,-,-,-,-,,,,,,,,,,,,,,,,,,,,
119,0.4,-,-,-,-,0.4,-,-,-,-,,,,,,,,,,,,,,,,,,,,
120,-,-,-,0.32,0.34,-,-,0.33,-,-,,,,,,,,,,,,,,,,,,,,
122,-,-,-,-,0.74,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
128,-,-,-,-,0.91,-,-,0.92,-,-,,,,,,,,,,,,,,,,,,,,
131,-,-,-,-,-,-,-,-,0.61,-,,,,,,,,,,,,,,,,,,,,
136,-,-,-,0.4,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
137,0.72,-,-,-,-,0.71,-,-,-,-,,,,,,,,,,,,,,,,,,,,
151,0.61,0.62,-,-,0.63,-,0.61,-,-,-,,,,,,,,,,,,,,,,,,,,
153,-,0.47,-,0.47,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
166,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
173,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
174,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
176,-,0.69,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
177,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
178,-,0.99,-,-,-,0.99,0.99,-,-,-,,,,,,,,,,,,,,,,,,,,
180,-,-,0.45,-,-,-,-,-,0.45,-,,,,,,,,,,,,,,,,,,,,
184,0.59,-,-,-,0.6,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
190,-,0.94,-,-,-,-,0.94,-,-,-,,,,,,,,,,,,,,,,,,,,
203,-,-,-,-,-,0.51,0.5,0.52,0.5,-,,,,,,,,,,,,,,,,,,,,
210,-,-,-,-,0.54,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
215,0.45,-,-,-,-,-,-,0.46,-,0.46,,,,,,,,,,,,,,,,,,,,
220,-,0.6,0.6,-,-,0.61,-,-,0.6,-,,,,,,,,,,,,,,,,,,,,
223,-,-,-,-,-,-,-,-,-,0.7,,,,,,,,,,,,,,,,,,,,
224,-,-,-,-,-,-,0.81,-,0.81,0.82,,,,,,,,,,,,,,,,,,,,
225,-,-,-,0.72,-,-,0.71,-,-,-,,,,,,,,,,,,,,,,,,,,
227,-,0.41,-,-,-,-,-,-,-,0.42,,,,,,,,,,,,,,,,,,,,
228,-,-,-,0.68,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
229,-,-,0.55,-,-,-,-,0.56,-,-,,,,,,,,,,,,,,,,,,,,
231,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
234,-,-,0.13,-,-,-,-,-,-,0.14,,,,,,,,,,,,,,,,,,,,
238,-,-,0.57,-,-,-,-,-,0.57,-,,,,,,,,,,,,,,,,,,,,
241,-,-,-,-,-,-,-,-,-,0.57,,,,,,,,,,,,,,,,,,,,
245,-,0.47,-,0.47,0.49,0.47,-,-,-,-,,,,,,,,,,,,,,,,,,,,
248,-,-,-,-,-,-,-,-,-,0.59,,,,,,,,,,,,,,,,,,,,
254,-,-,-,-,0.55,-,-,-,0.53,-,,,,,,,,,,,,,,,,,,,,
258,-,-,0.61,-,0.62,0.61,-,-,-,0.62,,,,,,,,,,,,,,,,,,,,
260,0.35,-,0.34,0.35,0.34,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
265,0.7,-,-,0.7,0.7,-,-,0.71,0.69,-,,,,,,,,,,,,,,,,,,,,
275,-,-,-,-,0.59,-,-,0.59,-,-,,,,,,,,,,,,,,,,,,,,
277,-,0.93,0.94,0.95,0.93,-,-,-,-,0.94,,,,,,,,,,,,,,,,,,,,
278,-,-,-,0.52,-,0.53,-,-,0.51,-,,,,,,,,,,,,,,,,,,,,
281,-,-,-,-,-,-,0.14,-,0.15,-,,,,,,,,,,,,,,,,,,,,
287,-,0.42,0.41,-,-,0.41,-,-,0.42,0.42,,,,,,,,,,,,,,,,,,,,
289,0.81,-,0.82,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
293,-,-,-,-,0.54,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
294,-,-,-,-,0.47,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
297,-,0.56,0.56,-,0.58,-,-,0.57,-,-,,,,,,,,,,,,,,,,,,,,
302,-,-,-,-,-,-,0.97,-,-,-,,,,,,,,,,,,,,,,,,,,
306,-,0.57,-,-,-,-,-,-,0.56,-,,,,,,,,,,,,,,,,,,,,
308,-,-,0.46,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
310,-,-,-,-,-,-,-,-,0.45,-,,,,,,,,,,,,,,,,,,,,
315,-,-,0.4,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
317,-,-,-,-,-,-,-,-,0.49,-,,,,,,,,,,,,,,,,,,,,
320,-,-,-,0.87,-,0.86,-,-,-,-,,,,,,,,,,,,,,,,,,,,
321,-,0.54,-,0.54,0.55,-,0.53,0.55,-,0.55,,,,,,,,,,,,,,,,,,,,
330,-,-,-,-,0.24,-,0.21,-,-,-,,,,,,,,,,,,,,,,,,,,
332,-,0.51,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
333,-,-,-,-,0.5,-,0.48,-,-,-,,,,,,,,,,,,,,,,,,,,
334,-,-,0.86,0.86,-,-,0.85,-,-,-,,,,,,,,,,,,,,,,,,,,
335,0.34,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
337,-,-,0.57,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
338,-,-,-,-,-,-,-,-,0.6,-,,,,,,,,,,,,,,,,,,,,
344,-,-,0.28,-,-,-,0.28,0.29,-,-,,,,,,,,,,,,,,,,,,,,
348,-,-,-,-,-,-,0.17,-,-,-,,,,,,,,,,,,,,,,,,,,
350,-,-,-,-,-,0.83,-,-,-,-,,,,,,,,,,,,,,,,,,,,
354,0.53,0.54,0.53,-,-,-,-,-,-,0.54,,,,,,,,,,,,,,,,,,,,
355,-,0.59,-,-,-,-,-,0.6,-,-,,,,,,,,,,,,,,,,,,,,
359,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
362,-,-,0.99,-,-,-,-,-,0.98,-,,,,,,,,,,,,,,,,,,,,
364,-,0.5,0.49,-,0.51,-,-,-,-,0.5,,,,,,,,,,,,,,,,,,,,
384,-,-,0.48,0.48,-,-,0.48,-,-,-,,,,,,,,,,,,,,,,,,,,
385,0.59,-,-,-,-,-,-,-,-,0.61,,,,,,,,,,,,,,,,,,,,
386,-,-,-,-,-,-,-,-,0.51,0.52,,,,,,,,,,,,,,,,,,,,
390,-,-,-,-,-,-,-,-,-,0.64,,,,,,,,,,,,,,,,,,,,
393,-,0.42,0.41,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
396,-,0.56,-,0.56,-,0.57,-,-,-,0.57,,,,,,,,,,,,,,,,,,,,
399,-,-,-,-,-,-,0.17,-,-,-,,,,,,,,,,,,,,,,,,,,
400,-,0.52,0.52,-,0.54,-,-,0.53,-,-,,,,,,,,,,,,,,,,,,,,
402,-,0.22,0.21,0.21,0.24,0.21,-,-,-,-,,,,,,,,,,,,,,,,,,,,
406,-,-,0.84,-,-,-,0.83,-,-,-,,,,,,,,,,,,,,,,,,,,
407,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
411,-,-,-,-,-,-,-,-,0.36,0.37,,,,,,,,,,,,,,,,,,,,
416,-,-,-,-,0.29,0.26,-,-,-,-,,,,,,,,,,,,,,,,,,,,
417,-,-,-,0.26,0.29,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
429,0.54,-,-,-,-,-,-,-,0.54,0.56,,,,,,,,,,,,,,,,,,,,
430,0.52,-,-,-,-,-,0.52,0.53,-,-,,,,,,,,,,,,,,,,,,,,
435,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
438,-,0.58,-,0.59,-,0.58,-,-,-,-,,,,,,,,,,,,,,,,,,,,
440,-,-,-,-,-,-,-,0.57,-,0.57,,,,,,,,,,,,,,,,,,,,
446,-,-,0.54,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
451,-,0.68,-,0.69,-,-,0.68,-,-,-,,,,,,,,,,,,,,,,,,,,
459,0.61,-,-,0.62,-,-,-,0.62,-,0.62,,,,,,,,,,,,,,,,,,,,
462,-,-,-,-,-,-,-,0.47,-,-,,,,,,,,,,,,,,,,,,,,
468,-,0.47,-,0.46,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
469,-,-,-,-,0.58,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
478,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
480,-,-,0.56,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
485,-,-,0.59,-,-,-,-,-,0.59,0.6,,,,,,,,,,,,,,,,,,,,
495,-,-,0.34,0.35,-,-,-,0.35,-,0.35,,,,,,,,,,,,,,,,,,,,
500,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
502,-,0.51,0.5,-,-,0.51,-,-,-,-,,,,,,,,,,,,,,,,,,,,
505,-,-,-,-,-,-,-,-,-,0.45,,,,,,,,,,,,,,,,,,,,
516,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
517,-,0.56,-,-,-,-,0.56,-,-,-,,,,,,,,,,,,,,,,,,,,
518,0.33,-,0.32,-,0.34,-,0.32,-,-,-,,,,,,,,,,,,,,,,,,,,
523,0.65,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
531,-,-,-,-,-,-,-,-,-,0.73,,,,,,,,,,,,,,,,,,,,
533,-,-,0.52,0.52,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
537,-,-,-,-,0.32,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
538,-,-,0.52,-,-,0.53,0.52,0.53,-,-,,,,,,,,,,,,,,,,,,,,
542,-,-,0.65,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
548,-,-,-,-,0.6,-,-,-,0.58,-,,,,,,,,,,,,,,,,,,,,
557,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
558,-,-,-,-,-,0.55,-,-,-,-,,,,,,,,,,,,,,,,,,,,
566,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
569,0.5,-,-,-,-,-,0.5,-,0.5,-,,,,,,,,,,,,,,,,,,,,
572,0.32,-,-,-,-,0.31,-,-,0.31,-,,,,,,,,,,,,,,,,,,,,
573,-,-,-,-,-,0.5,0.49,-,-,0.5,,,,,,,,,,,,,,,,,,,,
576,-,0.72,-,-,-,-,-,0.73,0.72,-,,,,,,,,,,,,,,,,,,,,
579,-,-,0.7,-,-,-,-,-,-,0.7,,,,,,,,,,,,,,,,,,,,
581,-,-,-,-,-,-,-,-,0.96,-,,,,,,,,,,,,,,,,,,,,
584,-,-,-,0.44,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
586,-,-,-,-,-,-,-,-,0.23,-,,,,,,,,,,,,,,,,,,,,
588,0.72,-,-,0.73,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
597,-,0.87,0.88,0.88,-,-,0.87,-,0.87,-,,,,,,,,,,,,,,,,,,,,
598,-,-,0.66,-,0.66,-,-,-,0.66,-,,,,,,,,,,,,,,,,,,,,
602,-,-,-,-,-,0.86,0.85,-,-,-,,,,,,,,,,,,,,,,,,,,
603,-,-,-,0.52,0.54,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
604,-,0.54,-,-,-,-,-,-,0.53,-,,,,,,,,,,,,,,,,,,,,
611,-,-,-,-,0.31,-,0.28,-,0.3,-,,,,,,,,,,,,,,,,,,,,
612,-,-,-,-,-,0.81,-,-,-,-,,,,,,,,,,,,,,,,,,,,
616,-,-,-,0.53,-,0.53,-,-,-,0.53,,,,,,,,,,,,,,,,,,,,
624,-,0.54,-,-,-,0.54,-,-,-,-,,,,,,,,,,,,,,,,,,,,
627,-,-,-,0.6,-,-,0.57,-,0.59,-,,,,,,,,,,,,,,,,,,,,
635,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
638,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
640,0.55,0.56,-,-,-,0.57,0.56,-,0.55,-,,,,,,,,,,,,,,,,,,,,
644,-,-,-,0.87,-,0.85,0.85,0.86,0.86,-,,,,,,,,,,,,,,,,,,,,
645,-,0.66,0.66,-,-,0.66,-,-,-,-,,,,,,,,,,,,,,,,,,,,
648,-,-,-,-,0.18,-,-,0.17,-,-,,,,,,,,,,,,,,,,,,,,
651,-,-,-,0.61,-,0.61,0.6,-,-,-,,,,,,,,,,,,,,,,,,,,
656,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
657,-,-,-,0.63,0.64,0.64,-,-,-,0.64,,,,,,,,,,,,,,,,,,,,
669,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
674,-,-,-,-,-,0.55,0.55,-,0.54,-,,,,,,,,,,,,,,,,,,,,
678,-,-,-,-,-,0.28,-,0.3,-,-,,,,,,,,,,,,,,,,,,,,
679,0.46,-,-,0.47,-,-,-,0.48,0.46,-,,,,,,,,,,,,,,,,,,,,
680,-,0.53,0.53,-,-,-,-,0.54,-,0.54,,,,,,,,,,,,,,,,,,,,
685,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
688,0.89,-,-,-,0.88,0.89,-,-,0.89,0.9,,,,,,,,,,,,,,,,,,,,
691,-,-,-,0.52,-,0.53,-,-,-,-,,,,,,,,,,,,,,,,,,,,
692,-,-,0.57,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
697,-,-,0.3,-,-,-,-,-,-,0.31,,,,,,,,,,,,,,,,,,,,
700,-,-,-,-,0.83,0.84,0.83,0.84,-,-,,,,,,,,,,,,,,,,,,,,
701,-,0.66,-,-,-,0.66,-,0.67,-,-,,,,,,,,,,,,,,,,,,,,
704,-,-,-,-,-,-,-,-,0.28,-,,,,,,,,,,,,,,,,,,,,
707,0.75,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
708,-,-,-,-,-,-,-,0.96,-,-,,,,,,,,,,,,,,,,,,,,
709,-,-,-,-,-,0.69,-,0.7,-,-,,,,,,,,,,,,,,,,,,,,
711,0.74,0.74,-,0.75,-,-,0.74,-,-,0.75,,,,,,,,,,,,,,,,,,,,
712,-,-,-,-,-,-,0.21,-,-,-,,,,,,,,,,,,,,,,,,,,
713,-,-,-,0.57,-,0.54,-,0.56,-,-,,,,,,,,,,,,,,,,,,,,
716,0.4,0.4,-,-,-,-,-,-,-,0.41,,,,,,,,,,,,,,,,,,,,
718,0.59,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
743,-,-,-,-,-,-,-,-,0.52,-,,,,,,,,,,,,,,,,,,,,
753,-,-,-,0.16,-,-,-,-,0.17,-,,,,,,,,,,,,,,,,,,,,
754,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
757,-,-,-,-,-,-,0.32,-,-,-,,,,,,,,,,,,,,,,,,,,
765,-,0.96,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
785,0.47,-,-,0.48,-,0.48,-,-,-,-,,,,,,,,,,,,,,,,,,,,
789,-,0.47,-,-,0.49,-,-,0.48,-,-,,,,,,,,,,,,,,,,,,,,
790,-,-,0.63,-,0.63,-,-,-,-,0.63,,,,,,,,,,,,,,,,,,,,
793,-,0.45,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
794,-,-,-,-,-,-,0.64,0.66,-,-,,,,,,,,,,,,,,,,,,,,
803,-,-,0.3,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
804,-,-,-,0.56,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
810,-,-,-,0.53,-,-,0.53,-,-,0.54,,,,,,,,,,,,,,,,,,,,
812,-,-,-,0.41,0.43,-,-,-,-,0.42,,,,,,,,,,,,,,,,,,,,
813,-,-,-,0.74,-,-,-,-,-,0.74,,,,,,,,,,,,,,,,,,,,
821,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
823,-,-,-,-,0.8,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
835,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
838,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
843,-,-,-,0.61,-,-,-,-,-,0.61,,,,,,,,,,,,,,,,,,,,
844,0.32,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
847,-,0.61,0.61,-,0.62,-,0.6,-,-,-,,,,,,,,,,,,,,,,,,,,
849,-,-,0.43,-,-,0.43,-,0.44,-,-,,,,,,,,,,,,,,,,,,,,
850,-,0.67,-,-,-,0.68,0.67,-,-,-,,,,,,,,,,,,,,,,,,,,
852,-,-,0.66,-,0.66,0.66,-,-,-,-,,,,,,,,,,,,,,,,,,,,
853,-,-,-,-,0.31,-,-,-,-,0.3,,,,,,,,,,,,,,,,,,,,
855,-,-,-,-,-,0.32,-,-,0.32,-,,,,,,,,,,,,,,,,,,,,
857,0.93,0.93,-,-,0.92,-,-,0.93,0.93,-,,,,,,,,,,,,,,,,,,,,
858,-,-,-,-,-,-,-,-,0.42,0.43,,,,,,,,,,,,,,,,,,,,
859,-,-,-,0.56,-,-,-,0.57,-,0.57,,,,,,,,,,,,,,,,,,,,
867,0.67,0.67,0.68,-,0.68,0.68,-,-,-,-,,,,,,,,,,,,,,,,,,,,
870,0.61,-,-,0.62,-,0.61,0.6,-,-,-,,,,,,,,,,,,,,,,,,,,
872,-,-,-,0.87,0.85,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
875,-,0.5,0.49,-,0.51,0.5,-,-,-,-,,,,,,,,,,,,,,,,,,,,
887,-,0.63,-,-,-,0.64,-,-,0.63,0.65,,,,,,,,,,,,,,,,,,,,
899,-,-,-,-,-,0.5,-,-,-,0.5,,,,,,,,,,,,,,,,,,,,
901,-,-,-,-,0.49,-,-,-,0.46,-,,,,,,,,,,,,,,,,,,,,
909,0.59,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
913,0.54,-,-,-,-,-,0.53,-,0.54,-,,,,,,,,,,,,,,,,,,,,
914,-,-,0.59,0.6,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
916,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
917,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
918,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
921,-,-,0.46,0.47,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
926,-,-,0.66,-,-,-,-,0.67,-,-,,,,,,,,,,,,,,,,,,,,
930,0.53,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
934,-,-,-,-,-,-,-,-,0.65,-,,,,,,,,,,,,,,,,,,,,
944,-,-,-,-,-,-,-,-,0.82,-,,,,,,,,,,,,,,,,,,,,
946,0.48,-,-,-,-,-,-,-,0.48,-,,,,,,,,,,,,,,,,,,,,
948,-,-,-,0.53,-,0.54,-,-,-,-,,,,,,,,,,,,,,,,,,,,
951,-,-,-,-,0.47,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
953,0.43,0.44,-,-,0.46,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
955,-,-,-,-,-,-,-,-,-,0.65,,,,,,,,,,,,,,,,,,,,
959,-,-,-,0.72,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
965,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
967,0.95,-,-,-,0.94,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
971,0.25,-,0.24,-,-,-,-,0.24,-,0.24,,,,,,,,,,,,,,,,,,,,
975,-,-,-,-,-,-,0.55,-,0.54,0.56,,,,,,,,,,,,,,,,,,,,
977,-,0.54,-,-,-,-,-,-,-,0.54,,,,,,,,,,,,,,,,,,,,
978,-,0.43,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
987,-,-,-,-,-,-,-,-,0.74,0.75,,,,,,,,,,,,,,,,,,,,
988,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
995,0.41,-,0.4,-,-,-,-,0.42,0.41,-,,,,,,,,,,,,,,,,,,,,
996,-,0.58,0.57,-,0.59,-,0.57,-,-,-,,,,,,,,,,,,,,,,,,,,
998,-,-,-,-,-,-,-,-,0.89,-,,,,,,,,,,,,,,,,,,,,
1000,-,0.97,-,-,0.97,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
1001,0.91,-,0.91,0.91,-,-,0.89,-,-,-,,,,,,,,,,,,,,,,,,,,
1002,-,-,-,0.66,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
1003,-,-,0.39,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
1005,-,-,-,0.13,-,0.12,0.13,-,-,-,,,,,,,,,,,,,,,,,,,,
1006,-,-,-,-,-,-,-,0.37,-,-,,,,,,,,,,,,,,,,,,,,
1007,-,-,-,-,0.41,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
1014,-,-,-,0.54,-,-,0.55,-,-,0.56,,,,,,,,,,,,,,,,,,,,
1015,-,-,0.78,0.78,-,-,0.76,0.78,-,-,,,,,,,,,,,,,,,,,,,,
1022,-,-,-,-,-,-,0.41,-,0.41,0.42,,,,,,,,,,,,,,,,,,,,
1024,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
1025,-,0.35,0.34,0.35,-,-,0.34,-,-,0.35,,,,,,,,,,,,,,,,,,,,
1026,-,-,-,-,-,-,0.84,-,0.85,-,,,,,,,,,,,,,,,,,,,,
1027,-,-,-,-,-,-,-,0.67,-,-,,,,,,,,,,,,,,,,,,,,
1034,0.6,-,-,-,0.62,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
1036,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
1043,-,-,-,-,-,0.62,-,0.63,-,0.63,,,,,,,,,,,,,,,,,,,,
1044,-,-,-,-,-,-,0.51,-,-,-,,,,,,,,,,,,,,,,,,,,
1048,-,-,0.8,-,0.78,-,0.78,0.8,-,-,,,,,,,,,,,,,,,,,,,,
1051,-,-,-,-,0.52,0.51,-,-,-,-,,,,,,,,,,,,,,,,,,,,
1057,-,0.83,0.85,-,-,-,0.83,-,-,0.85,,,,,,,,,,,,,,,,,,,,
1058,-,-,-,-,-,-,-,0.55,-,-,,,,,,,,,,,,,,,,,,,,
1059,-,-,-,-,-,0.55,-,-,-,-,,,,,,,,,,,,,,,,,,,,
1060,-,-,-,-,0.31,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
1061,-,-,-,-,0.26,0.23,-,-,-,0.24,,,,,,,,,,,,,,,,,,,,
1062,-,-,-,0.59,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
1063,-,-,-,-,-,-,-,-,-,0.84,,,,,,,,,,,,,,,,,,,,
1065,0.83,-,-,-,0.82,-,-,-,-,0.84,,,,,,,,,,,,,,,,,,,,
1072,0.45,-,0.45,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
1077,-,0.52,-,-,-,-,-,0.53,-,-,,,,,,,,,,,,,,,,,,,,
1082,-,0.84,-,-,-,-,0.84,-,0.85,-,,,,,,,,,,,,,,,,,,,,
1084,-,-,-,0.24,-,0.24,-,-,-,-,,,,,,,,,,,,,,,,,,,,
1086,-,-,-,-,-,-,-,-,-,0.59,,,,,,,,,,,,,,,,,,,,
1103,0.53,-,-,-,-,0.54,-,0.54,-,-,,,,,,,,,,,,,,,,,,,,
